freq num average numcdf
675 2271 14872900.000 12767845
676 2262 14897900.000 12770107
677 2211 14888300.000 12772318
678 2163 14928600.000 12774481
679 2232 14848800.000 12776713
680 2216 14861300.000 12778929
681 2194 14833600.000 12781123
682 2227 14781200.000 12783350
683 2137 14847300.000 12785487
684 2158 14744600.000 12787645
685 2158 14701700.000 12789803
686 2112 14658100.000 12791915
687 2119 14690400.000 12794034
688 2106 14577700.000 12796140
689 2189 14613400.000 12798329
690 2032 14544600.000 12800361
691 2135 14650400.000 12802496
692 2096 14543600.000 12804592
693 2064 14650000.000 12806656
694 2098 14489500.000 12808754
695 2083 14606600.000 12810837
696 2074 14468500.000 12812911
697 2013 14507300.000 12814924
698 2074 14462600.000 12816998
699 1999 14492600.000 12818997
700 2104 14455900.000 12821101
701 1967 14380400.000 12823068
702 1988 14376600.000 12825056
703 2018 14315700.000 12827074
704 2073 14408000.000 12829147
705 2051 14338100.000 12831198
706 2007 14312400.000 12833205
707 2020 14276300.000 12835225
708 1910 14235400.000 12837135
709 1966 14213500.000 12839101
710 1934 14182200.000 12841035
711 2037 14204000.000 12843072
712 1927 14169700.000 12844999
713 1948 14191700.000 12846947
714 1955 14092000.000 12848902
715 1960 14150100.000 12850862
716 1921 14061000.000 12852783
717 1981 14007800.000 12854764
718 1893 13979800.000 12856657
719 1914 14046700.000 12858571
720 1891 13856200.000 12860462
721 1826 13968900.000 12862288
722 1831 13947200.000 12864119
723 1890 13884500.000 12866009
724 1876 13870500.000 12867885
725 1821 13924600.000 12869706
726 1869 13892200.000 12871575
727 1780 13886600.000 12873355
728 1868 13856900.000 12875223
729 1761 13888500.000 12876984
730 1809 13824500.000 12878793
731 1717 13709700.000 12880510
732 1887 13866800.000 12882397
733 1765 13806700.000 12884162
734 1851 13625900.000 12886013
735 1819 13788600.000 12887832
736 1819 13696900.000 12889651
737 1759 13732600.000 12891410
738 1813 13694900.000 12893223
739 1815 13619600.000 12895038
740 1781 13574700.000 12896819
741 1769 13611200.000 12898588
742 1826 13535700.000 12900414
743 1736 13584700.000 12902150
744 1683 13470600.000 12903833
745 1724 13549800.000 12905557
746 1786 13542900.000 12907343
747 1741 13467700.000 12909084
748 1703 13465900.000 12910787
749 1812 13370400.000 12912599
750 1787 13475200.000 12914386
751 1698 13448300.000 12916084
752 1666 13408900.000 12917750
753 1735 13331900.000 12919485
754 1731 13286300.000 12921216
755 1709 13363500.000 12922925
756 1705 13342200.000 12924630
757 1680 13228500.000 12926310
758 1666 13207000.000 12927976
759 1619 13111500.000 12929595
760 1665 13331900.000 12931260
761 1679 13159200.000 12932939
762 1677 13117100.000 12934616
