freq num average numcdf
1244 1 15207.000 1596765
1247 1 6760.000 1596766
1257 1 432.000 1596767
1262 1 4816.000 1596768
1263 1 16010.000 1596769
1264 1 14119.000 1596770
1275 1 19569.000 1596771
1279 2 13844.000 1596773
1282 1 19926.000 1596774
1283 1 19924.000 1596775
1285 2 14614.000 1596777
1287 1 19704.000 1596778
1291 1 8257.000 1596779
1293 1 18260.000 1596780
1295 1 17871.000 1596781
1303 1 10347.000 1596782
1305 1 17544.000 1596783
1306 1 18616.000 1596784
1307 1 19345.000 1596785
1309 1 8675.000 1596786
1311 1 819.000 1596787
1314 1 15034.000 1596788
1318 1 19418.000 1596789
1320 1 19365.000 1596790
1322 2 11617.000 1596792
1324 2 15416.000 1596794
1326 1 15146.000 1596795
1327 1 6733.000 1596796
1328 1 19154.000 1596797
1330 1 13747.000 1596798
1331 1 14189.000 1596799
1337 1 10162.000 1596800
1341 1 3773.000 1596801
1348 1 6576.000 1596802
1352 1 15499.000 1596803
1353 1 4274.000 1596804
1354 1 4151.000 1596805
1357 2 15468.000 1596807
1362 1 127.000 1596808
1363 1 8496.000 1596809
1368 1 184.000 1596810
1381 1 18368.000 1596811
1383 1 18221.000 1596812
1387 1 18397.000 1596813
1392 1 18345.000 1596814
1394 1 2369.000 1596815
1410 1 8826.000 1596816
1412 1 6025.000 1596817
1421 1 167.000 1596818
