,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w88.oracleGeneral.bin.zst_4711053,0.1806,0.1863,0.1172,0.1823,0.1854,0.1886,0.2115,0.2006,0.188,0.1915,0.1978,0.2535,0.1811,0.1724,0.1891,0.1859,0.176,0.1743,0.1833,0.1811,0.1703
w85.oracleGeneral.bin.zst_4790048,0.6467,0.7632,0.6232,0.7632,0.7617,0.8041,0.8133,0.7846,0.789,0.7721,0.7919,0.7639,0.7174,0.6375,0.8121,0.8073,0.7599,0.7786,0.6744,0.8053,0.6582
w80.oracleGeneral.bin.zst_5256246,0.3895,0.3892,0.2822,0.3805,0.4272,0.4782,0.5014,0.4906,0.4216,0.49,0.4696,0.4005,0.4253,0.3886,0.4914,0.4797,0.3799,0.3775,0.3947,0.4051,0.3738
w65.oracleGeneral.bin.zst_9316229,0.712,0.9488,0.6733,0.9492,0.9407,0.9721,0.9731,0.8978,0.9693,0.8521,0.9691,0.9509,0.7672,0.687,0.9727,0.9727,0.9383,0.9543,0.7564,0.9583,0.689
w31.oracleGeneral.bin.zst_21166982,0.6652,0.6657,0.6097,0.6657,0.6663,0.6885,0.7198,0.7062,0.6789,0.716,0.6839,0.6697,0.6788,0.6675,0.6973,0.6851,0.6648,0.6717,0.6721,0.7082,0.6789
w46.oracleGeneral.bin.zst_11550125,0.4421,0.4306,0.3977,0.4305,0.4256,0.4237,0.437,0.436,0.4226,0.4288,0.4276,0.4313,0.4294,0.4594,0.426,0.4252,0.4345,0.4274,0.4332,0.4344,0.4744
w76.oracleGeneral.bin.zst_6076272,0.1848,0.1801,0.1182,0.1824,0.1782,0.1858,0.2029,0.2083,0.1859,0.1942,0.2007,0.4525,0.1858,0.1812,0.18,0.179,0.1822,0.1858,0.1831,0.1823,0.2053
w100.oracleGeneral.bin.zst_3645877,0.5933,0.6152,0.4859,0.6242,0.613,0.6351,0.655,0.6198,0.6287,0.6102,0.6297,0.6274,0.5997,0.5875,0.6395,0.6387,0.6082,0.6122,0.6162,0.6246,0.5777
w14.oracleGeneral.bin.zst_34816425,0.4342,0.4422,0.2804,0.4602,0.4622,0.4749,0.4872,0.4525,0.4632,0.402,0.4609,0.5916,0.3729,0.4182,0.4756,0.4726,0.4308,0.3969,0.4505,0.4289,0.4123
w62.oracleGeneral.bin.zst_9497745,0.5777,0.6252,0.5436,0.6252,0.6394,0.6303,0.7339,0.6641,0.6296,0.6432,0.6324,0.6252,0.6426,0.5685,0.6341,0.6293,0.6238,0.6447,0.5913,0.6475,0.5767
