 accp4 accp4c accp4p
656 0.252 1.000 0.998
657 0.252 1.000 0.998
658 0.252 1.000 0.998
659 0.252 1.000 0.998
660 0.252 1.000 0.998
661 0.252 1.000 0.998
662 0.252 1.000 0.998
663 0.252 1.000 0.998
664 0.252 1.000 0.998
665 0.252 1.000 0.998
666 0.252 1.000 0.998
667 0.253 1.000 0.998
668 0.253 1.000 0.998
669 0.253 1.000 0.998
670 0.253 1.000 0.998
671 0.253 1.000 0.998
672 0.253 1.000 0.998
673 0.253 1.000 0.998
674 0.254 1.000 0.998
675 0.254 1.000 0.998
676 0.254 1.000 0.998
677 0.255 1.000 0.998
678 0.255 1.000 0.998
679 0.255 1.000 0.998
680 0.255 1.000 0.998
681 0.255 1.000 0.998
682 0.256 1.000 0.998
683 0.256 1.000 0.998
684 0.256 1.000 0.998
685 0.256 1.000 0.998
686 0.256 1.000 0.998
687 0.256 1.000 0.998
688 0.256 1.000 0.998
689 0.256 1.000 0.998
690 0.256 1.000 0.998
691 0.256 1.000 0.998
692 0.256 1.000 0.998
693 0.256 1.000 0.998
694 0.257 1.000 0.998
695 0.257 1.000 0.998
696 0.257 1.000 0.998
697 0.257 1.000 0.998
698 0.257 1.000 0.998
699 0.257 1.000 0.998
700 0.257 1.000 0.998
701 0.257 1.000 0.998
702 0.258 1.000 0.998
703 0.258 1.000 0.998
704 0.258 1.000 0.998
705 0.258 1.000 0.998
706 0.258 1.000 0.998
707 0.258 1.000 0.998
708 0.258 1.000 0.998
709 0.258 1.000 0.998
710 0.258 1.000 0.998
711 0.258 1.000 0.998
712 0.258 1.000 0.998
713 0.258 1.000 0.998
714 0.259 1.000 0.998
715 0.259 1.000 0.998
716 0.259 1.000 0.998
717 0.259 1.000 0.998
718 0.259 1.000 0.998
719 0.259 1.000 0.998
720 0.259 1.000 0.998
721 0.259 1.000 0.998
722 0.259 1.000 0.998
723 0.259 1.000 0.998
724 0.260 1.000 0.998
725 0.260 1.000 0.998
726 0.260 1.000 0.998
727 0.260 1.000 0.998
728 0.260 1.000 0.998
729 0.260 1.000 0.998
730 0.261 1.000 0.998
731 0.261 1.000 0.998
732 0.261 1.000 0.998
733 0.261 1.000 0.998
734 0.261 1.000 0.998
735 0.262 1.000 0.998
736 0.262 1.000 0.998
