 accp4 accp4c accp4p
514 0.609 1.005 1.004
515 0.613 1.006 1.004
516 0.625 1.006 1.004
517 0.628 1.006 1.004
518 0.628 1.006 1.004
519 0.632 1.006 1.004
520 0.633 1.006 1.004
521 0.635 1.007 1.004
522 0.636 1.007 1.004
523 0.642 1.007 1.004
524 0.644 1.007 1.004
525 0.645 1.007 1.004
526 0.651 1.007 1.004
527 0.653 1.007 1.004
528 0.656 1.007 1.004
529 0.657 1.007 1.004
530 0.659 1.007 1.004
531 0.661 1.007 1.004
532 0.662 1.007 1.004
533 0.663 1.007 1.004
534 0.666 1.007 1.005
535 0.668 1.007 1.005
536 0.670 1.007 1.005
537 0.670 1.007 1.005
538 0.671 1.007 1.005
539 0.671 1.007 1.005
540 0.671 1.007 1.005
541 0.676 1.007 1.005
542 0.678 1.007 1.005
543 0.678 1.008 1.005
544 0.682 1.008 1.005
545 0.685 1.008 1.005
546 0.692 1.008 1.005
547 0.695 1.008 1.005
548 0.697 1.008 1.005
549 0.701 1.008 1.005
550 0.703 1.008 1.006
551 0.721 1.008 1.006
552 0.725 1.008 1.006
553 0.728 1.009 1.006
554 0.729 1.009 1.006
555 0.730 1.009 1.006
556 0.730 1.009 1.006
557 0.730 1.009 1.007
558 0.731 1.009 1.007
559 0.731 1.009 1.007
560 0.732 1.009 1.007
561 0.732 1.009 1.007
562 0.732 1.010 1.007
563 0.733 1.010 1.007
564 0.733 1.010 1.007
565 0.733 1.010 1.007
566 0.733 1.010 1.007
567 0.733 1.010 1.007
568 0.733 1.010 1.007
569 0.733 1.010 1.007
570 0.734 1.010 1.007
571 0.734 1.011 1.007
572 0.734 1.011 1.007
573 0.734 1.011 1.007
574 0.735 1.011 1.008
575 0.735 1.011 1.008
576 0.735 1.011 1.008
577 0.735 1.011 1.009
578 0.735 1.012 1.009
579 0.735 1.012 1.009
580 0.735 1.012 1.009
581 0.737 1.012 1.009
582 0.737 1.012 1.009
583 0.737 1.012 1.009
584 0.738 1.012 1.010
585 0.739 1.012 1.010
586 0.740 1.013 1.010
587 0.740 1.013 1.011
588 0.741 1.013 1.011
589 0.744 1.013 1.011
590 0.749 1.014 1.012
591 0.749 1.014 1.012
592 0.751 1.015 1.012
593 0.751 1.015 1.012
594 0.761 1.015 1.012
595 0.789 1.015 1.013
596 0.798 1.016 1.013
597 0.798 1.017 1.013
598 0.806 1.019 1.013
599 0.827 1.020 1.014
600 0.840 1.020 1.015
601 0.843 1.021 1.018
602 0.848 1.022 1.019
603 0.851 1.025 1.025
604 0.860 1.032 1.028
605 0.864 1.034 1.030
606 0.879 1.043 1.037
607 0.894 1.046 1.055
608 0.898 1.128 1.072
609 0.920 1.178 1.138
