,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w29.oracleGeneral.bin.zst_19087784,0.4412,0.4692,0.354,0.4452,0.4507,0.4774,0.4589,0.452,0.4601,0.5353,0.456,0.452,0.4444,0.4571,0.4511,0.4673,0.521
w69.oracleGeneral.bin.zst_7874006,0.4146,0.4304,0.311,0.445,0.4559,0.5203,0.5016,0.4637,0.4614,0.5636,0.4306,0.4551,0.4096,0.4072,0.4198,0.4152,0.433
w95.oracleGeneral.bin.zst_3937240,0.3449,0.3442,0.2618,0.3604,0.401,0.433,0.4173,0.431,0.3973,0.4723,0.3509,0.3768,0.3408,0.3441,0.3577,0.3489,0.3491
w82.oracleGeneral.bin.zst_4926610,0.5349,0.5761,0.4619,0.5954,0.6685,0.6694,0.6212,0.6111,0.6616,0.6239,0.5334,0.6321,0.5789,0.5857,0.5642,0.6189,0.5295
w48.oracleGeneral.bin.zst_14097008,0.7801,0.7949,0.7259,0.82,0.8592,0.8603,0.8342,0.8197,0.8568,0.8516,0.7738,0.8572,0.8099,0.8141,0.8008,0.8258,0.7926
w47.oracleGeneral.bin.zst_14314717,0.1766,0.1776,0.1081,0.1882,0.2154,0.204,0.2107,0.2053,0.2091,0.2321,0.177,0.2113,0.1787,0.1753,0.1883,0.1782,0.1736
w61.oracleGeneral.bin.zst_9884691,0.6056,0.6293,0.4425,0.6212,0.6399,0.6466,0.6681,0.6583,0.64,0.7411,0.6424,0.6379,0.6005,0.5989,0.6008,0.5893,0.6196
w56.oracleGeneral.bin.zst_10899629,0.3409,0.344,0.2362,0.35,0.3798,0.4122,0.3881,0.3897,0.379,0.4186,0.3438,0.3682,0.3386,0.3396,0.3555,0.3543,0.3414
w77.oracleGeneral.bin.zst_5616402,0.5158,0.5925,0.3683,0.5598,0.6059,0.6182,0.6103,0.5922,0.6052,0.6284,0.5349,0.5891,0.5266,0.5153,0.5345,0.5113,0.4771
w57.oracleGeneral.bin.zst_10554725,0.3494,0.3535,0.2278,0.3574,0.3928,0.4243,0.3972,0.3868,0.3938,0.4245,0.3487,0.3767,0.3432,0.3412,0.3631,0.3648,0.336
w104.oracleGeneral.bin.zst_3395553,0.9068,0.9089,0.8371,0.9011,0.8757,0.8639,0.8964,0.8875,0.8747,0.8876,0.9167,0.8675,0.8976,0.9035,0.8948,0.9067,0.8939
w96.oracleGeneral.bin.zst_3787344,0.4732,0.5159,0.3216,0.5024,0.4863,0.5033,0.5144,0.4966,0.4854,0.5669,0.5182,0.4792,0.4672,0.4612,0.4697,0.4679,0.4874
w01.oracleGeneral.bin.zst_215796257,0.7174,0.726,0.6621,0.7335,0.7549,0.7592,0.7473,0.7548,0.7536,0.7777,0.7203,0.7546,0.726,0.7513,0.734,0.7552,0.7353
w53.oracleGeneral.bin.zst_8973978,0.8987,0.8998,0.7832,0.8972,0.9,0.9006,0.9012,0.8993,0.8994,0.9045,0.8981,0.8988,0.8988,0.8962,0.9012,0.8994,0.9008
w12.oracleGeneral.bin.zst_45355529,0.0615,0.0607,0.0442,0.0627,0.0703,0.083,0.0835,0.0706,0.0765,0.0756,0.0594,0.0662,0.0607,0.0608,0.0629,0.0622,0.0604
