,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w11.oracleGeneral.bin.zst_46173369,0.4093,0.4122,0.205,0.3847,0.392,0.423,0.3348,0.2716,0.4647,0.284,0.3913,0.3824,0.3997,0.4057,0.3928,0.3932,0.3949
w29.oracleGeneral.bin.zst_19087784,0.3425,0.3601,0.257,0.3729,0.4294,0.4436,0.3811,0.323,0.4056,0.3604,0.3455,0.4205,0.3458,0.366,0.3749,0.3926,0.3476
w69.oracleGeneral.bin.zst_7874006,0.3076,0.3063,0.2065,0.3161,0.3489,0.3926,0.3104,0.2432,0.343,0.2789,0.2886,0.3521,0.3178,0.3055,0.3115,0.292,0.2889
w95.oracleGeneral.bin.zst_3937240,0.2171,0.2196,0.1547,0.2265,0.2325,0.2628,0.2014,0.1319,0.2299,0.1644,0.2109,0.2396,0.2153,0.2174,0.21,0.23,0.2026
w82.oracleGeneral.bin.zst_4926610,0.2703,0.3984,0.1876,0.3545,0.3788,0.4046,0.1991,0.0959,0.3522,0.1222,0.2063,0.3773,0.2782,0.2804,0.1787,0.274,0.1893
w48.oracleGeneral.bin.zst_14097008,0.8212,0.8397,0.5578,0.783,0.8493,0.8496,0.6416,0.3159,0.8479,0.3965,0.75,0.8485,0.8032,0.8154,0.6381,0.8343,0.7223
w47.oracleGeneral.bin.zst_14314717,0.0793,0.0862,0.0448,0.0739,0.0871,0.0971,0.0633,0.0469,0.0932,0.047,0.068,0.0842,0.072,0.0677,0.0745,0.0708,0.0593
w61.oracleGeneral.bin.zst_9884691,0.3373,0.3799,0.2359,0.3872,0.4128,0.4274,0.3883,0.2557,0.426,0.2877,0.3614,0.4113,0.3316,0.3368,0.3335,0.3679,0.3294
w56.oracleGeneral.bin.zst_10899629,0.0854,0.09,0.0569,0.0895,0.0949,0.1252,0.0777,0.0577,0.0892,0.0637,0.0815,0.0921,0.0845,0.0849,0.0838,0.0944,0.0812
w77.oracleGeneral.bin.zst_5616402,0.3171,0.314,0.232,0.3373,0.3635,0.3827,0.325,0.2248,0.3738,0.2574,0.2942,0.3448,0.3194,0.3171,0.2992,0.3518,0.2822
w57.oracleGeneral.bin.zst_10554725,0.0826,0.0903,0.0542,0.0894,0.103,0.1395,0.0849,0.0584,0.0964,0.0655,0.0798,0.0938,0.0813,0.0815,0.0851,0.0963,0.0799
w104.oracleGeneral.bin.zst_3395553,0.7421,0.6981,0.6568,0.7102,0.7105,0.7278,0.7177,0.6827,0.7142,0.6973,0.7405,0.7139,0.6978,0.7078,0.7212,0.7264,0.7317
w96.oracleGeneral.bin.zst_3787344,0.2672,0.2789,0.1686,0.2855,0.3315,0.3888,0.2872,0.1967,0.3331,0.2205,0.2715,0.3487,0.2631,0.2631,0.2652,0.2739,0.2753
w01.oracleGeneral.bin.zst_215796257,0.7303,0.7912,0.5699,0.7915,0.8156,0.8258,0.744,0.7433,0.8098,0.6201,0.7041,0.8249,0.7913,0.8216,0.7561,0.8237,0.7316
w53.oracleGeneral.bin.zst_8973978,0.6426,0.6468,0.596,0.6556,0.6537,0.6635,0.6514,0.6386,0.6573,0.6466,0.6383,0.6561,0.6462,0.653,0.6418,0.657,0.6391
w12.oracleGeneral.bin.zst_45355529,0.0115,0.0118,0.0095,0.0122,0.013,0.0182,0.0133,0.0098,0.0129,0.0117,0.0111,0.0126,0.0112,0.0117,0.0116,0.0138,0.0122
